Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y
2022-01-12-14:49:17,0.622353218540084,0,0,0.222792161714751,0,0,0.415562009257264,0,0.316641394463368,0,0,1.83370335720904
2022-01-12-14:49:17,0.493673224342056,0,0,0.701782514848746,0,0,0.825519788265228,0,0.661021748206112,0,0,0.841449825775944
2022-01-12-14:49:18,0.731890883727465,0,0,0.885171230491251,0,0,0.640879789774772,0,0.721683647725731,0,0,1.9891031827017
2022-01-12-14:49:19,0.927144340446684,0,0,0.0173057884839363,0,0,0.531098184231669,0,0.89443281091284,0,0,-0.885299655672236
2022-01-12-14:49:20,0.0302074360894039,0,0,0.785167673751712,0,0,0.585683475800324,0,0.86054682374699,0,0,-0.0542944124894409
2022-01-12-14:49:21,0.709926847887691,0,0,0.754961603367701,0,0,0.371896144757047,0,0.18287629999686,0,0,2.98959534977799
2022-01-12-14:49:22,0.859487920852844,0,0,0.316674794266,0,0,0.132922097470146,0,0.164664972701576,0,0,1.72518286893197
2022-01-12-14:49:23,0.269422199360561,0,0,0.345864654502366,0,0,0.716694590265397,0,0.308108100402169,0,0,0.805136677094344
2022-01-12-14:49:24,0.588437071098015,0,0,0.934281232499052,0,0,0.985517864287831,0,0.191182205085643,0,0,2.35781441826598
2022-01-12-14:49:25,0.362761966737453,0,0,0.00834460166981443,0,0,0.901382719494868,0,0.518171500135213,0,0,0.252777398116335
2022-01-12-14:49:26,0.662612627937924,0,0,0.165463938980829,0,0,0.614430031075608,0,0.741232190227602,0,0,1.14138621429545
2022-01-12-14:49:27,0.167221614189912,0,0,0.307992235701531,0,0,0.199419768275693,0,0.426650422133971,0,0,0.504896544398257
2022-01-12-14:49:28,0.670876554334536,0,0,0.428801772976294,0,0,0.06477561511565,0,0.737056447989307,0,0,1.47903057098277
2022-01-12-14:49:28,0.826326876957901,0,0,0.211265413435176,0,0,0.991680218740366,0,0.882775687889662,0,0,0.565521128326904
2022-01-12-14:49:29,0.573908982391004,0,0,0.947322881575674,0,0,0.798799152050633,0,0.322862524548545,0,0,2.07815658403235
2022-01-12-14:49:30,0.294371932523791,0,0,0.546989279813133,0,0,0.554197961832397,0,0.123688800900709,0,0,1.38852789330477
2022-01-12-14:49:32,0.278258131328039,0,0,0.380303372493945,0,0,0.489834565953352,0,0.296151533795055,0,0,0.889868510830408
2022-01-12-14:49:32,0.450124898904469,0,0,0.82794709001435,0,0,0.0406115721166134,0,0.384958101240918,0,0,1.53801403246888
2022-01-12-14:49:33,0.147313370176125,0,0,0.741949907783419,0,0,0.576089254750405,0,0.842091177890543,0,0,-0.0136113766994003
2022-01-12-14:49:34,0.90283418438863,0,0,0.590846130191348,0,0,0.0959306291094981,0,0.832700493400916,0,0,0.0734199807388829
2022-01-12-14:49:35,0.868593296920881,0,0,0.738267430325504,0,0,0.208326239204034,0,0.775950003378093,0,0,0.763183068152691
2022-01-12-14:49:36,0.336750851233955,0,0,0.969890935362782,0,0,0.893232133903075,0,0.970949873703066,0,0,0.00928149262897464
2022-01-12-14:49:37,0.54092723588692,0,0,0.12609439751599,0,0,0.0396730839461088,0,0.486207150712144,0,0,0.990692824613889
2022-01-12-14:49:37,0.648925543969963,0,0,0.103687325550709,0,0,0.142492750945967,0,0.67786347595742,0,0,1.1618430567537
2022-01-12-14:49:38,0.889684891127981,0,0,0.811333212300669,0,0,0.365787123413756,0,0.501491318352055,0,0,1.05504584907804
2022-01-12-14:49:39,0.119973530555144,0,0,0.157339532540645,0,0,0.684524569059722,0,0.953517067718785,0,0,-0.733736813033699
2022-01-12-14:49:40,0.1591604190832,0,0,0.278700446588919,0,0,0.44837934582727,0,0.85210804114351,0,0,-0.397641107945332
2022-01-12-14:49:41,0.835002641531173,0,0,0.0750331720197573,0,0,0.973613974237815,0,0.282911639865488,0,0,1.56171419728992
2022-01-12-14:49:42,0.0842724123364315,0,0,0.0589290516031906,0,0,0.429776075317059,0,0.080334841881413,0,0,0.926821996386943
2022-01-12-14:49:42,0.218368266231846,0,0,0.490994844241068,0,0,0.520897804326378,0,0.689509309234563,0,0,0.138284298588413
2022-01-12-14:49:43,0.976841811011545,0,0,0.857823105964344,0,0,0.289042843475472,0,0.0698554952209816,0,0,1.15679594121572
2022-01-12-14:49:44,0.992479989281856,0,0,0.68430622349726,0,0,0.562941086580977,0,0.876581134423614,0,0,-0.743924771169925
2022-01-12-14:49:45,0.227700019825716,0,0,0.760928398370743,0,0,0.279769607605413,0,0.812147291020956,0,0,0.178930968438305
2022-01-12-14:49:46,0.550525761817116,0,0,0.463799432176165,0,0,0.843216178216971,0,0.331968723833561,0,0,1.56568294642512
2022-01-12-14:49:47,0.280238506973255,0,0,0.0689044137927703,0,0,0.702132916147821,0,0.0744471738766879,0,0,1.06783464883263
2022-01-12-14:49:48,0.697207422277424,0,0,0.992858138810843,0,0,0.116349762871396,0,0.156661760204006,0,0,3.28778605067932
2022-01-12-14:49:48,0.815399004498031,0,0,0.522118981473614,0,0,0.745213631142396,0,0.468591982054058,0,0,1.77188901655785
2022-01-12-14:49:49,0.0494550684723072,0,0,0.6472361077182,0,0,0.322789352205582,0,0.0154667588183656,0,0,1.57854908066087
2022-01-12-14:49:50,0.355562926896382,0,0,0.259879457284696,0,0,0.872710704314522,0,0.595452207461931,0,0,0.27331358184141
2022-01-12-14:49:51,0.0598251459863968,0,0,0.95199143470265,0,0,0.728781630503945,0,0.221991821555421,0,0,1.32728347855471
2022-01-12-14:49:52,0.25469715414336,0,0,0.0919827226293273,0,0,0.350129624647088,0,0.0913037507957779,0,0,1.03456554860737
2022-01-12-14:49:53,0.788940297549125,0,0,0.282054646594916,0,0,0.96719484166475,0,0.941470448025502,0,0,0.856681862535255
2022-01-12-14:49:54,0.638689482843038,0,0,0.623820929685608,0,0,0.808332182506565,0,0.0562775187194348,0,0,2.71980032636768
2022-01-12-14:49:54,0.870599363734946,0,0,0.982527982539032,0,0,0.109867257464211,0,0.803351132737007,0,0,0.944130737065299
2022-01-12-14:49:55,0.190969225575682,0,0,0.205069286935031,0,0,0.943539604321122,0,0.548221027744003,0,0,0.13608461653264
2022-01-12-14:49:56,0.519845556009095,0,0,0.0890688785049133,0,0,0.122984597482719,0,0.586803347885143,0,0,0.652681802389615
2022-01-12-14:49:57,0.107200096065644,0,0,0.915609258762561,0,0,0.78790956413839,0,0.82047635586001,0,0,0.101211817996224
2022-01-12-14:49:58,0.795317074253689,0,0,0.117503057648428,0,0,0.0712558299652301,0,0.999885046933778,0,0,0.608286652854609
2022-01-12-14:49:59,0.121783658720087,0,0,0.6923497294751,0,0,0.00956309511326253,0,0.137422147833277,0,0,1.46191825724905
2022-01-12-14:49:59,0.0149235487822443,0,0,0.87479408022482,0,0,0.438623635473195,0,0.56409556502942,0,0,0.647504067582548
2022-01-12-14:50:00,0.308429854973219,0,0,0.326842580907978,0,0,0.913329681658652,0,0.989249296963681,0,0,-0.543741301484386
2022-01-12-14:50:01,0.988958320259117,0,0,0.655819902138319,0,0,0.0883032494504005,0,0.344243879127316,0,0,0.405615192648746
2022-01-12-14:50:02,0.00580931319156663,0,0,0.802459710089024,0,0,0.0221937002125196,0,0.698076324260328,0,0,0.416408198547521
2022-01-12-14:50:03,0.807575273949187,0,0,0.143999744080938,0,0,0.385452354548033,0,0.0389082091394812,0,0,2.4326346931666
2022-01-12-14:50:04,0.720024168188684,0,0,0.0449144238419831,0,0,0.50240086178761,0,0.206206691772677,0,0,2.32860285083403
2022-01-12-14:50:05,0.968497879777569,0,0,0.928472548658028,0,0,0.774048878098838,0,0.372972328925971,0,0,0.520053910789436
2022-01-12-14:50:06,0.189035785987508,0,0,0.194542929618619,0,0,0.670150247777347,0,0.926126225297339,0,0,-0.616781682641617
2022-01-12-14:50:07,0.759439533313271,0,0,0.138914660243317,0,0,0.693631507887039,0,0.114766587668564,0,0,2.56534774140998
2022-01-12-14:50:08,0.404878416578285,0,0,0.905459475393873,0,0,0.259124686408322,0,0.786067469061818,0,0,0.635619569671572
2022-01-12-14:50:09,0.953846185177099,0,0,0.607963338883128,0,0,0.935998696864117,0,0.933869751726743,0,0,-0.776842487276646
2022-01-12-14:50:10,0.0635221052425913,0,0,0.338021380284335,0,0,0.3416834454122,0,0.701405592181254,0,0,-0.0748278900136303
2022-01-12-14:50:11,0.0928985062311404,0,0,0.97746038507903,0,0,0.635506181081291,0,0.254062349156011,0,0,1.31827829921227
2022-01-12-14:50:12,0.590498057559598,0,0,0.474475895522628,0,0,0.014004925165791,0,0.00268106363480913,0,0,2.56022757713077
2022-01-12-14:50:12,0.426550031201914,0,0,0.891668246458285,0,0,0.240922486910131,0,0.911578292013146,0,0,0.432487927040479
2022-01-12-14:50:13,0.206078965754714,0,0,0.630931507074274,0,0,0.883841953952797,0,0.143074647653848,0,0,1.27212095924162
2022-01-12-14:50:14,0.894890164923854,0,0,0.0320280648581683,0,0,0.408114778567106,0,0.960857068898622,0,0,-0.626230273015528
2022-01-12-14:50:15,0.482844196038786,0,0,0.0260762078990229,0,0,0.184124357399996,0,0.438949067618232,0,0,0.750563922383963
2022-01-12-14:50:16,0.134666938090231,0,0,0.246572351458017,0,0,0.452834914932027,0,0.278862626471091,0,0,0.706594740733724
2022-01-12-14:50:17,0.913356812091079,0,0,0.831215597514529,0,0,0.735978384418413,0,0.652862277533859,0,0,0.38702073449472
